Left_x,Left_y,Right_x,Right_y,X,Y,Z,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,exx,eyy,ezz,exy,eyz,ezx,
1259.87377930,501.66137695,1222.21850586,525.13842773,22.37533569,-21.27141190,806.77642822,24.81980133,-0.31578636,4.04046631,0.00000000,0.96358806,0.96536320,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1264.89233398,501.69271851,1227.21533203,525.14892578,22.65973282,-21.27170944,806.80963135,24.82359505,-0.31435013,4.04144287,0.00000000,0.96389681,0.96589363,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1269.92041016,501.70953369,1232.26977539,525.21850586,22.94497490,-21.27095604,806.85131836,24.82819939,-0.31284142,4.04577637,0.00000000,0.96505523,0.96394074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1274.83203125,501.73397827,1237.13146973,525.24963379,23.22321892,-21.27069664,806.87805176,24.82575989,-0.31224251,4.04132080,0.00000000,0.96658385,0.96627694,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1279.70214844,501.70458984,1242.06140137,525.20202637,23.49969864,-21.27465057,806.92443848,24.82159805,-0.31363297,4.03417969,0.00000000,0.96509463,0.96420997,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1284.54138184,501.67453003,1246.68994141,525.14471436,23.77298737,-21.27768135,806.92071533,24.81416702,-0.31565666,3.98754883,0.00000000,0.96608782,0.96663302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1289.49365234,501.68914795,1251.89697266,525.21600342,24.05527306,-21.27791405,807.00299072,24.81568909,-0.31506729,4.04510498,0.00000000,0.96753865,0.96744430,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1294.45117188,501.66638184,1256.89477539,525.20715332,24.33670235,-21.28050995,807.04571533,24.81636047,-0.31549072,4.04455566,0.00000000,0.96737522,0.96779364,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1299.53295898,501.67321777,1261.93322754,525.23645020,24.62474251,-21.28085709,807.07385254,24.82359505,-0.31447029,4.02343750,0.00000000,0.97079778,0.97240484,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1304.52832031,501.66772461,1266.84289551,525.24914551,24.90765762,-21.28180122,807.09338379,24.82567215,-0.31442642,4.01690674,0.00000000,0.97144496,0.97358185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1309.43945312,501.65307617,1271.93005371,525.28100586,25.18731689,-21.28359222,807.16003418,24.82446098,-0.31497002,4.03869629,0.00000000,0.96948367,0.96994537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1314.33703613,501.65283203,1276.84545898,525.28833008,25.46531677,-21.28495979,807.19750977,24.82159233,-0.31508636,4.06164551,0.00000000,0.96883160,0.96972144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1319.27221680,501.64556885,1281.95312500,525.30725098,25.74638939,-21.28689003,807.26330566,24.82171822,-0.31580353,4.07189941,0.00000000,0.97014421,0.97131652,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1324.27331543,501.64340210,1286.75036621,525.31030273,26.02900696,-21.28746986,807.26043701,24.82340813,-0.31597328,4.05175781,0.00000000,0.97485363,0.97756910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1329.14196777,501.62777710,1291.67150879,525.31317139,26.30564308,-21.28952789,807.30340576,24.81906319,-0.31692123,4.05621338,0.00000000,0.97511750,0.97795027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1334.03869629,501.60388184,1296.67126465,525.32055664,26.58421135,-21.29191971,807.35552979,24.81656265,-0.31792259,4.04608154,0.00000000,0.97227305,0.97600311,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1339.02148438,501.59835815,1301.89306641,525.39599609,26.86854935,-21.29249382,807.43298340,24.81986237,-0.31755447,4.08947754,0.00000000,0.97305208,0.97367811,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1343.99072266,501.60430908,1306.67626953,525.36877441,27.14949608,-21.29375267,807.43243408,24.81974411,-0.31832123,4.05731201,0.00000000,0.97246057,0.97627485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1348.91003418,501.58236694,1311.76464844,525.36242676,27.42984009,-21.29676247,807.49633789,24.81894302,-0.31880569,4.06488037,0.00000000,0.97295821,0.97454315,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1353.79370117,501.60150146,1316.64819336,525.38134766,27.70713043,-21.29713440,807.52880859,24.81508446,-0.31921959,4.06201172,0.00000000,0.97428250,0.97812009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1358.77685547,501.64093018,1321.75109863,525.42852783,27.99085617,-21.29669380,807.58380127,24.81768417,-0.31675529,4.08477783,0.00000000,0.97607785,0.97728002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1363.73986816,501.64346313,1326.61450195,525.42791748,28.27205849,-21.29765892,807.59820557,24.81773567,-0.31660843,4.07067871,0.00000000,0.97499752,0.97479922,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1368.69726562,501.61743164,1331.57031250,525.39379883,28.55357742,-21.30080223,807.63024902,24.81794548,-0.31846809,4.04711914,0.00000000,0.97472638,0.97680765,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1373.63732910,501.60070801,1336.59350586,525.42797852,28.83471680,-21.30212212,807.67742920,24.81786728,-0.31737137,4.05920410,0.00000000,0.97580713,0.97814661,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1378.62377930,501.60864258,1341.57006836,525.38696289,29.11786079,-21.30446625,807.70788574,24.81964111,-0.31946945,4.04040527,0.00000000,0.97599983,0.97803777,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1383.56396484,501.61373901,1346.73461914,525.46038818,29.40000916,-21.30467606,807.78051758,24.82049561,-0.31740379,4.07574463,0.00000000,0.97708321,0.97710073,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1388.44238281,501.61160278,1351.65429688,525.44677734,29.67742729,-21.30671501,807.81921387,24.81643677,-0.31804848,4.05627441,0.00000000,0.97610873,0.97581309,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1393.40771484,501.62832642,1356.55712891,525.46685791,29.95910454,-21.30683327,807.83917236,24.81688118,-0.31791115,4.06298828,0.00000000,0.97576964,0.97786641,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1398.39758301,501.63351440,1361.50573730,525.48693848,30.24234009,-21.30737114,807.86297607,24.81877518,-0.31819725,4.06030273,0.00000000,0.97507006,0.97456002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1403.34753418,501.61862183,1366.43603516,525.46618652,30.52345848,-21.30970764,807.89025879,24.81838417,-0.31869698,4.03802490,0.00000000,0.97344786,0.97637975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1408.32055664,501.61367798,1371.43481445,525.51293945,30.80624580,-21.31006050,807.92572021,24.81978989,-0.31804657,4.04650879,0.00000000,0.97151887,0.97485977,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1413.24914551,501.61846924,1376.43103027,525.50286865,31.08679581,-21.31191063,807.96850586,24.81870461,-0.31924820,4.03558350,0.00000000,0.97176152,0.97479236,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1418.22070312,501.61752319,1381.51269531,525.52435303,31.37013054,-21.31322861,808.01910400,24.82033539,-0.31855965,4.02612305,0.00000000,0.97087759,0.97528273,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1423.15100098,501.59997559,1386.48754883,525.51873779,31.65067482,-21.31547165,808.05718994,24.81949615,-0.31902313,4.04541016,0.00000000,0.97170925,0.97520351,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1428.11816406,501.59698486,1391.44067383,525.47851562,31.93289375,-21.31802750,808.08465576,24.82011414,-0.31965637,4.03222656,0.00000000,0.97173893,0.97686768,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1433.03332520,501.59759521,1396.45178223,525.51190186,32.21300507,-21.31887245,808.13165283,24.81853867,-0.31977081,4.03533936,0.00000000,0.97185260,0.97764122,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1437.94689941,501.59005737,1401.46923828,525.54418945,32.49311447,-21.32000732,808.17980957,24.81709290,-0.31887245,4.05371094,0.00000000,0.97097385,0.97445798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1442.90832520,501.58920288,1406.54772949,525.56622314,32.77606583,-21.32130814,808.23059082,24.81822395,-0.31875229,4.05267334,0.00000000,0.97007245,0.97413552,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1447.85742188,501.61206055,1411.62622070,525.60205078,33.05843353,-21.32159996,808.28332520,24.81902695,-0.31860542,4.08264160,0.00000000,0.96982580,0.97176957,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1452.77160645,501.60040283,1416.54785156,525.58764648,33.33792114,-21.32372665,808.31335449,24.81668663,-0.31938934,4.06658936,0.00000000,0.96787733,0.97132146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1457.74353027,501.59390259,1421.59667969,525.60534668,33.62124252,-21.32512093,808.35614014,24.81823349,-0.32055664,4.07281494,0.00000000,0.96768016,0.97276419,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1462.66870117,501.56643677,1426.59936523,525.61328125,33.90194321,-21.32736778,808.39855957,24.81710052,-0.32118034,4.07397461,0.00000000,0.96916896,0.97309363,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1467.61218262,501.59515381,1431.53210449,525.62091064,34.18300629,-21.32764626,808.42486572,24.81640625,-0.32042885,4.06890869,0.00000000,0.97141951,0.97602499,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1472.60437012,501.60217285,1436.55017090,525.67956543,34.46716309,-21.32726860,808.45782471,24.81867599,-0.31962395,4.06286621,0.00000000,0.97156739,0.97495645,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1477.56164551,501.62225342,1441.58728027,525.69232178,34.74975586,-21.32804108,808.50036621,24.81926537,-0.31917763,4.05883789,0.00000000,0.97048593,0.97364521,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1482.51245117,501.64151001,1446.66430664,525.73046875,35.03238678,-21.32831955,808.55114746,24.81990433,-0.31846619,4.06695557,0.00000000,0.97146851,0.97513276,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1487.41918945,501.64456177,1451.71545410,525.75408936,35.31267929,-21.32952881,808.60473633,24.81823158,-0.31849098,4.08184814,0.00000000,0.96939439,0.97509730,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1492.37365723,501.62820435,1456.66894531,525.76751709,35.59455490,-21.33093834,808.63171387,24.81797791,-0.31835747,4.06036377,0.00000000,0.97097641,0.97700781,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1497.29931641,501.59963989,1461.67395020,525.70861816,35.87542725,-21.33507538,808.67309570,24.81679726,-0.31975746,4.05957031,0.00000000,0.97313857,0.97915930,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1502.18798828,501.59414673,1466.67150879,525.70184326,36.15447617,-21.33720589,808.71948242,24.81385803,-0.32052231,4.07214355,0.00000000,0.97286946,0.97903836,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1507.15209961,501.59478760,1471.67431641,525.70458984,36.43726349,-21.33860016,808.75329590,24.81455612,-0.32091141,4.06787109,0.00000000,0.97196162,0.97857344,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1512.04272461,501.56234741,1476.62792969,525.68994141,36.71609497,-21.34150124,808.79077148,24.81144905,-0.32279015,4.07904053,0.00000000,0.97244370,0.97871047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1517.00146484,501.55133057,1481.63415527,525.71411133,36.99870300,-21.34264755,808.82568359,24.81190109,-0.32242584,4.07452393,0.00000000,0.97262096,0.97925800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1521.94128418,501.56893921,1486.59753418,525.73187256,37.28003693,-21.34305191,808.85595703,24.81108856,-0.32261276,4.06945801,0.00000000,0.97401685,0.98068577,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1526.88879395,501.57183838,1491.59448242,525.74591064,37.56204605,-21.34408569,808.89080811,24.81078339,-0.32272148,4.05957031,0.00000000,0.97461152,0.98112214,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1531.88208008,501.58126831,1496.72045898,525.77575684,37.84739304,-21.34486580,808.94085693,24.81359863,-0.32149887,4.05291748,0.00000000,0.97697526,0.98210955,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1536.83288574,501.56027222,1501.63415527,525.72015381,38.12886810,-21.34814835,808.95947266,24.81288719,-0.32345009,4.03820801,0.00000000,0.97767550,0.98311770,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1541.77124023,501.57800293,1506.77746582,525.77319336,38.41176605,-21.34833527,809.02203369,24.81568909,-0.30545425,4.17193604,0.00000000,0.97762978,0.98389268,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1546.75952148,501.55648804,1511.94348145,525.81384277,38.69731903,-21.34986687,809.07952881,24.81637573,-0.32322693,4.06384277,0.00000000,0.97893000,0.98475075,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
