Left_x,Left_y,Right_x,Right_y,X,Y,Z,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,exx,eyy,ezz,exy,eyz,ezx,
1150.27490234,502.45449829,1111.66650391,525.63543701,16.16468048,-21.19523621,805.74255371,18.60914612,-0.23961067,3.00659180,0.00000000,0.97458792,0.96173537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1155.30407715,502.46688843,1116.57873535,525.61364746,16.44869804,-21.19666672,805.76275635,18.61256027,-0.23930740,2.99456787,0.00000000,0.97556877,0.96165973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1160.32885742,502.47839355,1121.49121094,525.65039062,16.73252487,-21.19647980,805.78344727,18.61574936,-0.23836517,2.97790527,0.00000000,0.97546422,0.96289736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1165.25976562,502.50204468,1126.56140137,525.72735596,17.01204872,-21.19589424,805.84942627,18.61458969,-0.23744011,3.01269531,0.00000000,0.97509438,0.96165502,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1170.16674805,502.48699951,1131.22595215,525.64160156,17.28869629,-21.19929695,805.84503174,18.61059570,-0.23827934,2.95477295,0.00000000,0.97353387,0.96066898,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1175.04296875,502.46908569,1136.17907715,525.64068604,17.56492233,-21.20178032,805.89868164,18.60610199,-0.23975563,2.96551514,0.00000000,0.97241104,0.96291107,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1180.01342773,502.47976685,1141.32641602,525.72424316,17.84695244,-21.20153809,805.97125244,18.60736847,-0.23869133,3.01336670,0.00000000,0.97426468,0.96525943,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1184.95556641,502.46243286,1146.23693848,525.67828369,18.12651825,-21.20481110,806.00518799,18.60617638,-0.23979187,3.00402832,0.00000000,0.97435635,0.96331048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1190.00927734,502.47756958,1151.29028320,525.70410156,18.41257286,-21.20531082,806.04553223,18.61142540,-0.23892403,2.99511719,0.00000000,0.97672200,0.96834010,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1195.01660156,502.47583008,1156.21606445,525.71905518,18.69568443,-21.20621109,806.07037354,18.61369896,-0.23883629,2.99389648,0.00000000,0.97766221,0.97029269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1199.94140625,502.46286011,1161.34960938,525.78381348,18.97542763,-21.20727539,806.14758301,18.61257172,-0.23865318,3.02624512,0.00000000,0.97640681,0.96521199,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1204.87109375,502.46347046,1166.10375977,525.73889160,19.25375366,-21.20935440,806.15423584,18.61002922,-0.23948097,3.01837158,0.00000000,0.97624594,0.96829683,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1209.82751465,502.45327759,1171.27514648,525.77691650,19.53538132,-21.21112442,806.23248291,18.61071014,-0.24003792,3.04107666,0.00000000,0.97723383,0.96828127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1214.83178711,502.44232178,1176.08874512,525.77484131,19.81792068,-21.21226311,806.23638916,18.61232185,-0.24076653,3.02770996,0.00000000,0.98076618,0.97467256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1219.74389648,502.42480469,1181.01635742,525.78521729,20.09619522,-21.21411514,806.27728271,18.60961533,-0.24150848,3.03009033,0.00000000,0.98098797,0.97550166,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1224.66149902,502.39868164,1185.97814941,525.78973389,20.37494278,-21.21649742,806.32324219,18.60729408,-0.24250031,3.01379395,0.00000000,0.97927058,0.97307724,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1229.66613770,502.39825439,1190.99719238,525.81506348,20.65851021,-21.21746063,806.36425781,18.60982323,-0.24252129,3.02075195,0.00000000,0.98109406,0.97472638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1234.64587402,502.40731812,1193.83312988,525.61486816,20.93028069,-21.21496010,806.00915527,18.60052872,-0.23952866,2.63403320,0.00000000,0.98025829,0.49280369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
