Left_x,Left_y,Right_x,Right_y,X,Y,Z,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,exx,eyy,ezz,exy,eyz,ezx,
820.00000000,505.00000000,782.22839355,527.45550537,-2.44446611,-20.95562553,802.73596191,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.95873719,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
825.00000000,505.00000000,787.10968018,527.44500732,-2.16386175,-20.95735931,802.76818848,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.95987213,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
830.00000000,505.00000000,792.01965332,527.47320557,-1.88322413,-20.95811462,802.80554199,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.95989597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
835.00000000,505.00000000,796.89764404,527.51098633,-1.60254061,-20.95845413,802.83673096,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96074361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
840.00000000,505.00000000,801.89697266,527.48913574,-1.32189894,-20.96101761,802.89025879,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.95800668,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
845.00000000,505.00000000,806.84033203,527.51330566,-1.04117990,-20.96202469,802.93316650,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.95916206,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
850.00000000,505.00000000,811.68609619,527.52862549,-0.76041603,-20.96284676,802.95788574,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96077460,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
855.00000000,505.00000000,816.63275146,527.51196289,-0.47965860,-20.96501923,803.00115967,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96085870,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
860.00000000,505.00000000,821.61358643,527.52874756,-0.19885215,-20.96638680,803.05041504,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96416748,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
865.00000000,505.00000000,826.46948242,527.53936768,0.08198527,-20.96737480,803.07647705,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96576363,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
870.00000000,505.00000000,831.42822266,527.55676270,0.36285663,-20.96862221,803.12133789,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96308565,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
875.00000000,505.00000000,836.22363281,527.54840088,0.64372367,-20.96987343,803.13586426,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96336919,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
880.00000000,505.00000000,841.24243164,527.57598877,0.92467105,-20.97108650,803.19140625,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.96395522,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
