Left_x,Left_y,Right_x,Right_y,X,Y,Z,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,exx,eyy,ezz,exy,eyz,ezx,
930.39562988,504.29898071,891.80639648,526.87835693,3.75851393,-21.03032875,803.73571777,6.20298004,-0.07470322,0.99975586,0.00000000,0.99039447,0.96076101,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
935.41741943,504.30770874,896.70092773,526.86871338,4.04097700,-21.03166962,803.76251221,6.20483875,-0.07431030,0.99432373,0.00000000,0.99067807,0.96199965,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
940.44708252,504.31793213,901.54864502,526.90802002,4.32387400,-21.03133583,803.77899170,6.20709801,-0.07322121,0.97344971,0.00000000,0.99087435,0.96184397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
945.42529297,504.32952881,906.55157471,526.96057129,4.60411406,-21.03148079,803.83288574,6.20665455,-0.07302666,0.99615479,0.00000000,0.99089676,0.96289361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
950.38305664,504.32254028,911.34173584,526.94573975,4.88300180,-21.03319359,803.85101318,6.20490074,-0.07217598,0.96075439,0.00000000,0.99035066,0.95957869,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
955.33850098,504.31060791,916.38067627,526.95117188,5.16208553,-21.03557777,803.91516113,6.20326519,-0.07355309,0.98199463,0.00000000,0.99050355,0.96143478,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
960.33453369,504.30871582,921.32067871,526.97467041,5.44332933,-21.03656197,803.95379639,6.20374537,-0.07371521,0.99591064,0.00000000,0.99122816,0.96467406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
965.30480957,504.29510498,926.31518555,526.97467041,5.72325277,-21.03888130,804.00677490,6.20291138,-0.07386208,1.00561523,0.00000000,0.99096560,0.96404564,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
970.34991455,504.30328369,931.29064941,527.00012207,6.00730038,-21.03947639,804.04302979,6.20615244,-0.07308960,0.99261475,0.00000000,0.99172080,0.96779317,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
975.35913086,504.30242920,936.03900146,526.98693848,6.28906298,-21.04055595,804.04345703,6.20707750,-0.07318115,0.96697998,0.00000000,0.99157578,0.96928215,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
980.31787109,504.29287720,941.15380859,527.03332520,6.56864834,-21.04201126,804.11999512,6.20579147,-0.07338905,0.99865723,0.00000000,0.99110860,0.96670449,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
985.28631592,504.30145264,946.05584717,527.05255127,6.84846306,-21.04274559,804.15557861,6.20473957,-0.07287216,1.01971436,0.00000000,0.99117213,0.96744299,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
990.24755859,504.30038452,950.97650146,527.05432129,7.12793589,-21.04435158,804.19561768,6.20326471,-0.07326508,1.00421143,0.00000000,0.99151438,0.96892637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
995.26593018,504.29241943,955.84082031,527.08642578,7.41048288,-21.04480553,804.21496582,6.20488358,-0.07330894,1.00628662,0.00000000,0.99283689,0.97383559,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1000.21789551,504.28225708,960.90600586,527.12176514,7.68977833,-21.04638481,804.28277588,6.20319843,-0.07377815,1.03558350,0.00000000,0.99293679,0.97398269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1005.19165039,504.26727295,965.92730713,527.15423584,7.97023153,-21.04789162,804.33850098,6.20258331,-0.07389450,1.02905273,0.00000000,0.99233305,0.97118586,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1010.18292236,504.26327515,970.84893799,527.16931152,8.25147533,-21.04906845,804.37268066,6.20278883,-0.07412910,1.02917480,0.00000000,0.99300081,0.97207892,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1015.18640137,504.26977539,975.72131348,527.19006348,8.53331089,-21.04951859,804.39544678,6.20355940,-0.07408714,1.02032471,0.00000000,0.99297452,0.97152942,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1020.16754150,504.27133179,980.54333496,527.15820312,8.81382370,-21.05146027,804.41278076,6.20292664,-0.07350349,0.98132324,0.00000000,0.99299371,0.97295129,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1025.11499023,504.27368164,985.55285645,527.20269775,9.09294987,-21.05217934,804.47021484,6.20090389,-0.07426453,1.00341797,0.00000000,0.99349737,0.97411287,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1030.11621094,504.28952026,990.47338867,527.19702148,9.37481022,-21.05332375,804.50177002,6.20163822,-0.07338524,1.00274658,0.00000000,0.99382645,0.97598565,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1035.12756348,504.28805542,995.39318848,527.20404053,9.65725708,-21.05454636,804.53112793,6.20293427,-0.07349586,1.00360107,0.00000000,0.99350941,0.97421676,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
1040.11145020,504.27838135,1000.37768555,527.19812012,9.93838406,-21.05675888,804.57702637,6.20275259,-0.07442474,0.99389648,0.00000000,0.99328381,0.97337687,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
