x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy,subset_rx,subset_ry,
890.00000000,745.00000000,343.81304932,-4.19949532,343.72122192,-4.15728998,0.98478109,2.00000000,1.00000000,25.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
895.00000000,745.00000000,343.76470947,-4.20844364,343.74264526,-4.17487335,0.98451167,2.00000000,1.00000000,23.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
900.00000000,745.00000000,343.75527954,-4.20058346,343.72070312,-4.19009876,0.98342890,2.00000000,1.00000000,19.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
905.00000000,745.00000000,343.68646240,-4.20151472,343.61682129,-4.26880455,0.98558855,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
910.00000000,745.00000000,343.62026978,-4.21855688,343.51257324,-4.18600130,0.98585302,2.00000000,1.00000000,20.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
915.00000000,745.00000000,343.56207275,-4.22290134,343.50680542,-4.15293264,0.98581856,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
920.00000000,745.00000000,343.53588867,-4.23559666,343.47882080,-4.16249895,0.98691022,2.00000000,1.00000000,23.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
925.00000000,745.00000000,343.48193359,-4.24150276,343.45959473,-4.17616081,0.98646861,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
930.00000000,745.00000000,343.44277954,-4.24011564,343.39666748,-4.16145515,0.98668408,1.00000000,1.00000000,21.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
935.00000000,745.00000000,343.37380981,-4.23304033,343.31933594,-4.16581631,0.98605466,2.00000000,1.00000000,20.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
940.00000000,745.00000000,343.36764526,-4.21635008,343.32662964,-4.21393585,0.98590988,2.00000000,1.00000000,22.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
945.00000000,745.00000000,343.33959961,-4.21204138,343.22531128,-4.24227810,0.98546749,2.00000000,1.00000000,21.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
950.00000000,745.00000000,343.31085205,-4.19388151,343.24432373,-4.14360046,0.98467880,2.00000000,1.00000000,20.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
955.00000000,745.00000000,343.26162720,-4.19082260,343.13836670,-4.14043951,0.98365217,2.00000000,1.00000000,24.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
960.00000000,745.00000000,343.21545410,-4.18842697,343.09429932,-4.05240345,0.98358202,2.00000000,1.00000000,19.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
965.00000000,745.00000000,343.16833496,-4.17394400,343.08480835,-4.12180805,0.98336780,2.00000000,1.00000000,25.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
970.00000000,745.00000000,343.07958984,-4.17509937,343.04315186,-4.17682409,0.98374456,2.00000000,1.00000000,24.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
975.00000000,745.00000000,343.08169556,-4.17600870,342.92977905,-4.21859741,0.98354185,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
980.00000000,745.00000000,343.01654053,-4.18448687,342.91873169,-4.22184467,0.98454010,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
985.00000000,745.00000000,343.01538086,-4.19541121,342.89620972,-4.29710960,0.98569399,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
990.00000000,745.00000000,342.96420288,-4.20139885,342.90747070,-4.17020750,0.98479944,2.00000000,1.00000000,28.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
995.00000000,745.00000000,342.92330933,-4.21476269,342.86318970,-4.27373838,0.98557484,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1000.00000000,745.00000000,342.95272827,-4.22269678,342.81054688,-4.21976233,0.98666584,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1005.00000000,745.00000000,342.92178345,-4.21117687,342.75656128,-4.17036486,0.98659056,1.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1010.00000000,745.00000000,342.82775879,-4.20030403,342.74792480,-4.14489460,0.98764348,1.00000000,1.00000000,29.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1015.00000000,745.00000000,342.77993774,-4.20390606,342.61816406,-4.15164042,0.98836637,2.00000000,1.00000000,30.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1020.00000000,745.00000000,342.70159912,-4.20305729,342.61462402,-4.15628481,0.98861229,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1025.00000000,745.00000000,342.68365479,-4.21147585,342.60058594,-4.07427883,0.98883748,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
1030.00000000,745.00000000,342.65988159,-4.20461130,342.54513550,-4.19938993,0.98898095,2.00000000,1.00000000,27.00000000,0.00000000,0.00000000,-314951178789107404630816710566631964672.00000000,0.00000000,0.00000000,
